ulasan,sentimen
Kedepannya bisa lebih baik lagi,1
saran ya bu, untuk materi lebih baik diberikan sebelum jam perkuliahan seperti biasanya jdi pas kuis kita ga terlalu terburu² buat pahamin materinya. terimakasih,1
Dalam mengajar mudah dipahami dan bikin suasana menyenangkan semoga ilmunya bermanfaat bisa diterapkan kedunia nyata dengan detail. Terimakasih ibu🙏,3
Semoga ke depannya bisa lebih baik lagi,1
"Saran: Sebaiknya proses pembelajarannya lebih ditingkatkan lg supaya bisa jauh lebih baik untuk kedepannya.
Kritik : Harus lebih disiplin dan tepat waktu lg ketika pembelajaran dimulai.,0"
Dalam mengajar cukup baik, semoga pembelajaran nya offline aja agar kami bisa mencangkup semua materinya dengan paham, jelas kalau online kurang paham dan kedepannya bisa bikin pembelajaran yang begitu menyenangkan. Terimakasih ibu🙏,1
Cukup baik, semoga kedepannya bisa lebih lagi dalam mengajar.,2
Semoga bisa offline agar bisa praktik langsung.,2
Tugasnya dikurangin pa, hehe,2
Semoga kedepannya bisa lebih baik lagi dalam mengajar.,1
Tidak ada, sudah cukup baik,3
Kalau bisa pembelajaran offline aja agar kami bisa mencakup materinya dengan mudah, baik dan jelas. Kalau online susah untuk memahami tapi bapak orangnya sabar dalam mengajar begitu baik terhadap mahasiswa nya semoga sehat selalu nggeh pak lancar segala urusan dalam hal apapun. Terimakasih🙏,2
Sudahbaik,2
Maaf sebelumnya, tolong ketika menyampaikan materi lebih tertata jelas dan rapi serta lebih disiplin lagi dalam mengajar,0
Maaf sebelumnya,Lebih menarik lagi ketika membuat bahan ajar agar dapat cepat dimengerti,1
"Saran : Sebaiknya dosen dalam pembelajarannya harus diperjelas lg ketika sedang menjelaskan materi pada saat daring supaya mahasiswa lebih mudah memahaminya.
Kritik : Tidak ada,2"
Sudah cukup baik semuanya hanya lebih menarik lagi ketika membuat bahan ajar agar cepat dimengerti,1
Sudah baik semuanya,2
Kedepannya kalau bisa mengajar lebih menyenangkan lagi agar tidak spaneng mahasiswa nya dan mudah dipahami dalam mengajar. Terimakasih ibu,1
Lebih menarik lagi ketika membuat bahan ajar agar lebih menyenangkan dan dapat cepat dipahami,1
Lebih menarik lagi membuat bahan ajarnya agar mudah dipahami,1
Lebih jelas lagi ketika menjelaskan materi,1
Ketika menjelaskan jangan cepet-cepet,0
Lebih menarik lagi ketika membuat bahan ajar dan  lebih jelas lagi ketika menjelaskan materi jangan cepet-cepet,0
Menurut saya sudah cukup,1
Sebaiknya materi dijelaskan melalui gmeet supaya lebih jelas dan mudah dipahami.,1
Tidak ada kritik, sudah sangat baik.,3
Sudah cukup baik tapi dalam menerangkan intonasinya terlalu cepat jadi kurang mudah dipahami.,1
Saat menjelaskan materi dimohon untuk tidak terlalu lambat,1
Kalo ga masuk seengaknya ngasih tugas.,0
Harus lebih disiplin lg ketika pembelajaran dimulai dan seharusnya dosen lebih mudah dihubungi untuk konfirmasi pembelajaran,0
Dimohon untuk meluangkan sedikit waktunya untuk memberikan materi untuk para mahasiswa.,0
Semoga dapat memberikan modul sebagai referensi belajar.,1
Saat memberikan kuis mohon per bab 1 kuis saja,1
Sebaiknya sebelum presentasi menjelaskan materi terlebih dahulu,0
Adakan kuis,0
Dosen Bu Anita memberika materi dengan jelas dan baik dan sering mengadakan kuis sehingga mahasiswa lebih memahami materi yang diajarkan,3
Lebih sering adakan meet dan buatkan video tutorial,1
Saat menjelaskan materi diharapkan untuk bersuara lebih kencang dan jelas. Terimakasih..,0
No coment,3
Dosen ini juga disiplin dan juga bagus dalam mengajar ia juga tegas. Saran saja agar materi yang di berikan di tambah lagi agar lebih paham.,2
Sangat sabar dan baik sekali.,3
Dosen ini mengajar dan memberi materi sudah bagus serta bisa di pahami.Hanya saja dosen ini kurang tegas dalam menangani mahasiswa yang tidak memperhatikan  pada saat kuliah,seharusnya dosen ini lebih tegas lagi.,1
Saran agar saat memulai meeting online memberitahukan jam berapa akan dimulai,0
Saat menjelaskan harap jangan bertele-tele,0
Dosen ini sangat bagus dalam mengajar ia juga memberikan media kuliah hanya saja dosen ini sering tidak hadir karena memiliki keperluan yang lain.,3
Kasih tugas yang tidak terlalu susah,1
Harus lebih ditingkatkan lg pembelajarannya supaya jauh lebih baik untuk kedepannya.,1
Saran misalkan sudah dimulai pembelajaran online, sering sering melihat Gmeet, barang kali masih ada mahasiswa yang belum di ACC,0
tolong ofline apabila online pun harus diberi kuota semua mahasiswa,jangan ada yang dapet ada yang engga,0
Ibu anita sudah menjelaskan sangat baik, suka sekali dengan cara menjelaskan karna tidak terburu buru,3
Saran saat pembelajaran jangan membuat suasana tegang saat pembelajaran :),1
Mampu memberikan materi dengan jelas untuk bisa dipahami oleh mahasiswa,3
Kadang suka memberikan soal yang sulit dibandingkan dengan contoh soal yang dijelaskan,0
Saran saya jangan sering bikin tugas video, labuh baik di ketik atau di tulis saja :),0
good,3
Saran agar memberikan materi pembelajaran untuk belajar,0
Memberikan materi dengan contoh di kehidupan nyata sehingga mahasiswa mampu membayangkannya,3
Cukup baik dalam mengajar.,1
Menyenangkan dalam mengajar.,3
Cukup baik.,1
Cukup menarik kalau mengajar,1
Menyenangkan dalam mengajar,3
Cukup baik dalam mengajarnya,1
Cukup baik kalau mengajar,1
Cukup baik mengajarnya,1
Jangan terlalu banyak memberi tugas vidio,karna untuk kelas malam sulit untuk mencari jam dalam pengerjaan tugas,0
Baik mengajarnya,2
Lebih menjelaskan dg detail,2
sudah cukup baik.,1
Ibu menjelaskan materi dengan rinci dan baik. Ibu juga memberikan kesempatan mahasiswa bertanya saat kelompok. Terimakasih,3
Jangan terlalu cepat dlm menjelaskan materi,1
Pertahankan dan tingkatkan kembali cara mengajarnya,2
sibuk sekali bosku,0
terlalu sat set,0
Bapak mengajar dengan baik, bapak memberikan masukan cara membaca bahasa Inggris yang benar saat mengajar terutama membaca teks dan itu sangat membantu kami untuk melafalkan dengan benar.,3
Tidak pernah masuk,0
terlalu ribet dengan urusan pribadi uppssiiie🤭,0
Saya harap ibu sering  mengajar di kelas dan tidak meninggalkan kelas,0
materi youtube terosssss wkwkwkwkwkw bgt pokoknya,0
Dipertahankan dan Ditingkatkan kembali cara mengajarnya,2
Ibu memberikan materi dengan cara yang berbeda yaitu dengan media sosial seperti YouTube, tetapi penyampaian ibu benar-benar jelas dan saya suka cara ibu menjelaskan mudah dipahami. Terimakasih bu,3
terlalu lama ngomong di gmeet, dan akhirnya saya ngantuk,0
Cukup baik dlm menjelaskan materi,1
"Bapak dosen yang mengajarkan materi dengan sabar dan telaten. Bapak mempraktekkan dengan jelas cara melakukannya dan mengulangi kembali agar mahasiswa paham. 
Terimakasih pak,3"
Dipertahankan dan Ditingkatkan kembali cara memaparkan materi,2
Cara pak arief menyampaikan materi sangat bagus,tapi kadang tugasnya terlalu menumpuk,3
Jarang masuk,0
" Bapak selalu menyempatkan untuk meet dan menjelaskan cara-caranya dan materi dengan runtut, penyampaian yang bapak sampaikan mudah dipahami kami walaupun itu yang berhubungan dengan angka. 
Terimakasih pak,3"
Bu Anita kalo menjelaskan sangat mudah di pahami,3
"Ibu mengajar dengan baik menyampaikan melalui video yang ibu buat dan meet. Membuat kami lebih mengerti materi ibu. ibu juga memberikan kami kuis untuk tambahan point dan menyempatkan menjawab chat mahasiswa ketika ada pertanyaan sulit terkait tugas. Mengingatkan mahasiswa yang belum mengumpulkan tugas ketika meet. 
Terimakasih banyak bu,3"
Saat menjelaskan sudah cukup di pahami,1
"Ibu menjelaskan materi dengan jelas, ibu menyempatkan untuk melakukan meet dan menjelaskan materi (melalui video dan meet) . Ibu juga sabar dalam mengajar kami, telaten memberi kami ilmu terutama dalam materi perhitungan (angka) agar kami paham akan materi tersebut.
Terimakasih bu,3"
Mudah di pahami saat menerangkan,3
Maaf Mr, terlalu banyak tugas, Tolong tugasnya dikurangin😂 ,1
Semoga kedepannya makin baik,0
Menurut saya, Bapak Arif dalam menjelaskan materi jelas dalam penyampaian, namun seharusnya jangan setiap pertemuan selalu ada tugas, apalagi yang berhubungan dengan medsos karena tidak semua mahasiswa senggang dan tidak dalam bekerja. ,1
Sudah cukup jelas,1
Menurut saya ibu memberikan metode belajar yang sangat baik sehingga mahasiswa dapat mudah mengerti, terimakasih telah memberikan banyak ilmu yang bermanfaat kepada saya,3
"Ibu selalu menjelaskan tugas yang ibu berikan dan kita kerjakan, dan memberikan penjelasan kembali dan benar saat terdapat mahasiswa yang ibu tunjuk saat menyampaikan jawaban akan tugas yang ibu berikan dengan tidak benar(salah).
Terimakasih bu,3"
Menurut saya bapak memberikan metode belajar yang sangat baik sehingga mahasiswa dapat mudah mengerti terimakasih telah memberikan banyak ilmu yang bermanfaat,3
Menurut saya beliau memberikan metode belajar yang sangat baik dan menjelaskan materi dengan sangat jelas sehingga mahasiswa dapat mudah mengerti terimakasih telah memberikan banyak ilmu yang bermanfaat,3
Menurut saya beliau memberikan metode belajar yang sangat baik sehingga mahasiswa dapat mudah mengerti terimakasih telah memberikan banyak ilmu yang bermanfaat,3
Jangan keseringan kasih tugas ya pak, karena sudah cukup lelah dengan pekerjaan. bukan maksud mengeluh hanya berkeluh kesah,1
semangat pakkk,3
semoga kedepannya semakin baik lagi,2
Jika mahasiswa 1kelas sudah menyelesaikan kuis. Diharapkan untuk membagikan jawaban yang benar jadi mahasiswa tau bahwa kesalahan dalam mengisi kuis di pertanyaan yg mana (buat evaluasi mahasiswa).,0
Cara mengajarnya sudah baik,2
semangat ibuuuu,3
Kurangi untuk tugas,0
Saran : Semoga jika dipertemukan di semester berikutnya tugas yang diberikan tidak terlalu banyak.,0
Tingkatkan lagi,0
Semoga kedepannya makin baik lagi,2
saat gmeet volumenya rada di kerasin ya pak, kecil banget pak soalnya volumen gmeet nya.. dan lebih jelas lagi pak jangan terlalu cepat,0
cara mengajarnya sangat interaktif dan mudah di mengerti,3
semangat,3
"Untuk update vocabulary lebih dipastiin lagi. Sebaiknya jika ada perkuliahan setiap hari senin update mengisi vocab dan batasnya sampai minggu ya:)
,1"
Sejujurnya sebagai mahasiswa atau pelajar memang lah tidak boleh mengeluh. Tapi, alasan saya mengambil jam malam pasti ada alasan. Sejujurnya saya merasa terbebani dengan adanya tugas setiap akhir matkul. Dan saya juga merasa lelah mengerjakan vocab. Karena tidak setiap hari saya mempunyai kuota. Memang semua bisa dilakukan jika kita berusaha. Tetapi, saya rasa cukup sampai akhir matkul saja. Terimakasih,1
Semoga kedepannya bisa lebih baik lagi dalam pengajarannya dan semakin menarik,2
Jika memberikan tugas KWU tentang menanam hidroponik sebaiknya dibimbing dan diberikan pemahaman bagi kami secara lebih jelas lagi,1
terus semangat bu,3
Maaf pa harus lebih asik lagi kalo ngajar😂,1
bagusss pakk,3
Orangnya menyenangkan, tpi saya kurang begitu memahami dari penjelasan materi yg disampaikan Karana penjelasannya hanya melalui kelompok,2
lebih jelas lagi ibu dalam menjelaskan materi,1
Saran : semoga lebih baik lagi dalam menjelaskan materi terutama pada materi perhitungan.,1
Sangat baik saat menerangkan dan menjelaskan,3
lebih jelas lagi ibuu,0
Saya hanya berharap apa yang orang tua saya keluarkan untuk saya sebanding dengan apa yang saya dapat dalam pendidikan ini.,1
Materi yang disampaikan sudah cukup jelas untuk dipahami mahasiswa.,1
Dari awal saya memang menyukai berhitung khususnya matematika. Dan saya menyukai cara penyampaian anda. Terimakasih,3
Saran : Lebih baik dosen memberikan modul sebagai bahan belajar mahasiswa karena pada materi akuntansi perbankan ini agak susah untuk belajar otodidak tanpa modul.,1
Jarang masuk kelas dan tidak ngasih materi,0
Maaf pa jangan terlalu cepat menjelaskannya hehe,1
Dalam menjelaskan secara online munkin harus lebih ditingkatkan lagi agar mahasiswa bisa paham,1
Menurut saya Beliau sudah sangat baik dalam menjelaskan mata kuliah ini.,3
Dalam menginput nilai uts maupun uas di oase sesuaikan dengan yang ada di ekuliah.,0
Saran : Semoga kedepannya lebih baik lagi dalam memberikan materi kepada mahasiswa.,2
"Lebih konsisten saja dalam perkuliahan
Di kelas H hanya awal awal saja memberikan materi setelah itu belum memberikan materi kembali,0"
Enak banget dapet dosen seperti beliau,santai tapi tetep masuk pembelajarannya,3
Saran : Semoga kepadanya apabila menjelaskan materi secara online volume suaranya agak ditingkatkan agar mudah dipahami.,1
Pembelajaran masuk banget,jelas banget. Pokoknya the best ,3
Dosen paling sabar saat menghadapi mahasiswa.nya,3
cara mengajarnya sangat interaktif, mudah di mengerti dan menyenangkan,3
Saran : Jika semester depan bertemu lagi, semoga dosen dapat memberikan materi kepada mahasiswa baik secara online maupun offline ,2
Tidak ada pokoknya bu Anitta the best,3
Walidosen yang ajiiibbb,3
Saya harap anda membaca ini. Karena sejujurnya saya sama sekali tidak paham. Saya bukan dari jurusan pure akuntansi dan tdk melakukan pelajaran ini selama 3 thn penuh dan hanya krg 2 tahn itupun bukan pelajaran peminatan. Saya harap anda paham maksud saya. Dan untuk langsung materi anda sangat mudah dimengerti jika saya fokus. Tapi dalam pengajaran langsung berbahasa Inggris maaf saya kurang mengerti dari semester ini pak. Terimakasih.,0
Beliau jarang sekali menjelaskan materi,menurut saya jika memang tidak bisa melakukan penjelasan secara daring,file materi yang akan dibahas dishare jadi walalupun beliau tidak melakukan meeting online,setidaknya kita mengetahui materinya.,0
cara mengajarnya sangat interaktif dan mudah di mengerti dan menyenangkan,3
Saran : Semoga dipertahankan atau ditingkatkan dalam penyampaian materinya, karena penyampaian materinya sangat mudah untuk dipahami.,3
Saya sangat terkesan dengan anda. Karena anda yang paling sering mengadakan offline. Tetapi saya rasa ketika offline anda terlalu cepat. Saya yang agak gaptek kurang bisa menyusul. Terimakasih,2
Tidak ada, pokoknya menyenangkan cara mengajarnya,3
Penjelasannya masuk banget,enak kalo ngajar slow tapi tetap masuk,3
Pengajaran anda cukup membuat saya paham. Terimakasih,3
Walaupun lewat YouTube tapi penjelasannya tuh jelas banget.,3
Tidak ada kritik pokoknya wali kelas ter the best,3
Cara pengajaran anda cukup membuat saya paham. Terimakasih,3
Vidio pembelajaran nya gampang buat dipahami,3
Sering2 kasih materi ya buk,0
Online via gmeet. Jika berkenan. Terimakasih,0
Walaupun secara daring tapi penjelasannya gampang dipahami kalau dipraktekkan juga gampang.,3
Tidak ada sudah cuku jelas dengan apa yang di sampaikan dan mudah dimengerti ketika menjelaskan,3
Terimakasih,3
Penjelasannya gampang dipahami,3
Terbaiklah bu Hesti, tidak ada kritik,3
Bu jgn sering2 ngadain tanya jawab buk, takut :(,2
Pak Ibnun orang baik, tidak ada kritik. Menyenangkan cara menerangkan materi juga jelas,3
Dosennya baik,3
Tidak ada kritik, pokoknya terbaik bu Ririh. Sehat sehat ya Buk. ,3
Kalo lagi jelasin materi kecepetan. Semoga ke depannya lebih baik lagi:),1
Jarang kasih materi dan jarang meeting. Semoga ke depannya lebih bagus lagi yaa,1
Semoga ke depannya lebih menyenangkan lagi proses pembelajarannya,1
Semoga nantinya lebih baik lagi,1
Kalo ngasih kuis jangan susah-susah ya bu,1
Semoga lebih bagus lagi ya Bu:),1
Semoga tambah menyenangkan lagi ya Bu:),1
Semoga lebih banyak offlinenya biar materinya lebih mudah dipahami,1
Semoga kedepannya sesuai dengan jadwalnya, soalnya kalo ngajar melebihi jam kuliah,0
Kalau boleh saran suaranya dikerasin sedikit ya pak,biar tidak mengantuk terimakasih,1
Tetap santai tapi mudah dimengerti,3
Pengajar harusnya tugasnya mengajar , tapi bikin mahasiswanya mengsedih ngga dikasih materi tau2 ujian ngga tau apa2,0
Lebih baikk lagiii,2
Komting kita sudah berusaha menghubungi dosen, namun responnya nihil. Materi hanya di berikan 1 kali berupa pot di awal perkuliahan itusangatlah kurang sekali dalam menghadapi uas karena tidak ada materi kuliah lain dan pertemuan secara onlinepun tidak pernah terjadi,0
Sudah oke,2
Dalam menyampaikan materi terlalu singkat sehingga kadang ada kendala dalam memahami materinya,0
Jangan mundur mundur waktu di jam perkuliahan pada saat mahasiswa akan presentasi. Tetapi gapapa mahasiswa juga mengerti dosennya mungkin sibuk:),0
Dalam menyampaikan materi pembelajaran  jelas dan mudah dipahami,3
Lebih dijelaskan lagi pada saat membuat video untuk contoh kasus soal yang berbeda dengan materinya.,1
Materinya cukup jelas untuk dipahami mahasiswa. Selain itu juga lebih teliti dalam menginput nilai baik uts maupun uas.,1
Dalam penyampaian materi sangat baik dan menyenangkan belajar praktikum perpajakan ini,3
Perlu diperhatikan dalam menjelaskan melalui share screennya. Kadang pptnya berhenti hanya suaranya saja.,1
Dalam menyampaikan materi kuliah dengan sangat baik, jelas dan mudah dipahami.,3
Sebaiknya ada ringkasan bentuk modul tetapi harganya jangan mahal.,1
Selama pandemi saya sulit untuk menguasai materi yang bapak berikan,0
Pembelajaran presentasi kemarin membuat saya sangat paham apa itu audit,3
Saran : Dosen cukup baik dalam penyampaian materi, semoga dapat dipertahankan atau ditingkatkan.,3
Dalam mengajar sudah baik tapi alangkah baiknya jija ibu sering memberikan soal latihan anggaran. Terimakasih,2
